order_id,product_category,brand,price,discount_percent,discounted_price,quantity_sold,total_revenue,rating,review_count,customer_region,customer_city,payment_method,order_status,shipping_method,customer_segment,sales_channel,device_type,product_condition,seller_type,return_status,delivery_rating,season,promotion_type,membership,gender,delivery_days
10015,Toys,HP,70739.58,28,50932.5,5,254662.5,3.9,38477,North,Vijayawada,UPI,Delivered,Standard,Regular,Amazon.in,Mobile,New,Amazon,Not Returned,Excellent,Spring,Festival Sale,Non-Prime,Male,5
10016,Books,boAt,49030.16,43,27947.19,9,251524.71,3.2,22383,South,Warangal,Debit Card,Delivered,Same Day,VIP,Amazon.in,Desktop,New,Amazon,Returned,Good,Monsoon,Festival Sale,Prime,Other,6
10017,Beauty,Puma,19255.7,10,17330.13,3,51990.39,3.0,47507,West,Mumbai,Credit Card,Cancelled,Standard,Premium,Amazon.in,Desktop,New,Amazon,Not Returned,Excellent,Spring,Festival Sale,Prime,Male,3
10018,Toys,Philips,1763.1,5,1674.94,2,3349.88,3.4,11830,South,Delhi,Credit Card,Shipped,Prime,New,Amazon App,Mobile,New,Marketplace,Returned,Average,Spring,Lightning Deal,Non-Prime,Female,10
10019,Toys,HP,41915.23,2,41076.93,6,246461.58,4.2,28975,West,Delhi,Cash on Delivery,Processing,Same Day,Premium,Mobile Web,Tablet,New,Marketplace,Not Returned,Average,Winter,Festival Sale,Non-Prime,Female,10
10020,Fashion,Amazon Basics,8744.8,13,7607.98,7,53255.86,3.6,46546,West,Vijayawada,Net Banking,Returned,Prime,Premium,Mobile Web,Mobile,New,Amazon,Returned,Average,Monsoon,No Promotion,Prime,Female,6
10021,Sports,Sony,9597.14,59,3934.83,5,19674.15,4.8,26551,East,Pune,Cash on Delivery,Shipped,Standard,Premium,Mobile Web,Desktop,Renewed,Marketplace,Returned,Excellent,Winter,Bank Offer,Non-Prime,Female,2
10022,Books,Amazon Basics,26878.49,1,26609.71,1,26609.71,4.6,40928,East,Warangal,Cash on Delivery,Returned,Same Day,New,Desktop Web,Mobile,Renewed,Amazon,Returned,Poor,Spring,Festival Sale,Prime,Female,8
10023,Home & Kitchen,boAt,63118.74,31,43551.93,3,130655.79,2.8,23267,West,Vijayawada,Amazon Pay,Delivered,Prime,VIP,Amazon App,Mobile,Renewed,Amazon,Returned,Poor,Summer,Lightning Deal,Non-Prime,Other,6
10024,Toys,Amazon Basics,53084.08,30,37158.86,3,111476.58,2.8,12375,West,Chennai,Cash on Delivery,Cancelled,Standard,Premium,Mobile Web,Desktop,Renewed,Amazon,Not Returned,Average,Spring,Bank Offer,Prime,Female,4
10025,Beauty,Puma,7083.93,10,6375.54,4,25502.16,4.2,21513,South,Visakhapatnam,Amazon Pay,Cancelled,Prime,New,Desktop Web,Desktop,New,Amazon,Not Returned,Good,Spring,Coupon,Prime,Female,4
10026,Sports,Apple,96848.44,21,76510.27,10,765102.7,3.1,4403,South,Mumbai,Credit Card,Processing,Express,Regular,Amazon App,Mobile,New,Marketplace,Not Returned,Excellent,Winter,Festival Sale,Non-Prime,Other,7
10027,Sports,Lenovo,88738.44,2,86963.67,6,521782.02,4.5,4897,East,Kolkata,Credit Card,Cancelled,Standard,New,Amazon App,Desktop,New,Amazon,Returned,Average,Summer,Bank Offer,Prime,Other,3
10028,Home & Kitchen,Sony,26069.7,49,13295.55,5,66477.75,4.0,163,North,Chennai,Cash on Delivery,Delivered,Standard,Regular,Desktop Web,Desktop,New,Amazon,Returned,Excellent,Summer,Coupon,Non-Prime,Other,3
10029,Toys,Amazon Basics,12408.39,30,8685.87,1,8685.87,3.1,36078,West,Pune,Credit Card,Processing,Standard,New,Amazon App,Desktop,New,Amazon,Returned,Excellent,Winter,Lightning Deal,Non-Prime,Male,6
10030,Beauty,Amazon Basics,94250.81,32,64090.55,6,384543.3,3.7,17379,South,Bengaluru,Net Banking,Shipped,Same Day,VIP,Desktop Web,Desktop,Renewed,Amazon,Returned,Poor,Monsoon,No Promotion,Non-Prime,Male,9
10031,Books,boAt,46220.95,23,35590.13,9,320311.17,3.5,47759,East,Bengaluru,Amazon Pay,Cancelled,Same Day,Premium,Mobile Web,Desktop,New,Amazon,Returned,Average,Summer,Festival Sale,Prime,Female,1
10032,Electronics,Lenovo,31253.46,0,31253.46,1,31253.46,4.7,30030,South,Chennai,Amazon Pay,Processing,Same Day,VIP,Desktop Web,Desktop,Renewed,Amazon,Returned,Poor,Summer,No Promotion,Prime,Female,5
10033,Beauty,Samsung,49136.73,43,28007.94,8,224063.52,2.6,29870,West,Vijayawada,Cash on Delivery,Delivered,Express,New,Amazon App,Tablet,New,Amazon,Not Returned,Average,Winter,Lightning Deal,Prime,Female,1
10034,Home & Kitchen,Amazon Basics,77318.87,14,66494.23,8,531953.84,4.7,29482,West,Kolkata,Credit Card,Returned,Express,Premium,Mobile Web,Mobile,Renewed,Marketplace,Not Returned,Excellent,Monsoon,Bank Offer,Non-Prime,Male,1
10035,Sports,Puma,17003.85,36,10882.46,3,32647.38,4.1,31058,Central,Hyderabad,Debit Card,Returned,Standard,Regular,Mobile Web,Desktop,New,Marketplace,Not Returned,Poor,Monsoon,Bank Offer,Prime,Female,3
10036,Books,Philips,76795.08,26,56828.36,9,511455.24,4.3,26871,North,Hyderabad,Amazon Pay,Delivered,Express,New,Amazon.in,Mobile,Renewed,Marketplace,Not Returned,Excellent,Spring,Lightning Deal,Prime,Female,3
10037,Beauty,Sony,74993.79,37,47246.09,8,377968.72,2.5,26379,Central,Pune,Cash on Delivery,Delivered,Prime,Premium,Amazon.in,Tablet,New,Marketplace,Not Returned,Average,Spring,Lightning Deal,Prime,Male,4
10038,Electronics,Amazon Basics,54025.95,47,28633.75,3,85901.25,4.1,2251,East,Vijayawada,Cash on Delivery,Returned,Standard,Regular,Amazon App,Desktop,New,Amazon,Not Returned,Good,Winter,Festival Sale,Prime,Other,3
10039,Electronics,Puma,86610.06,26,64091.44,10,640914.4,4.0,43860,South,Delhi,Net Banking,Processing,Standard,Regular,Desktop Web,Mobile,New,Marketplace,Not Returned,Poor,Monsoon,Coupon,Non-Prime,Male,6
10040,Fashion,Puma,13386.91,43,7630.54,5,38152.7,3.8,23674,East,Delhi,UPI,Returned,Prime,VIP,Desktop Web,Desktop,New,Marketplace,Not Returned,Poor,Winter,No Promotion,Prime,Female,4
10041,Fashion,Sony,59627.8,11,53068.74,3,159206.22,4.5,6590,West,Mumbai,UPI,Delivered,Standard,New,Amazon App,Desktop,Renewed,Marketplace,Returned,Excellent,Spring,No Promotion,Non-Prime,Male,8
10042,Grocery,Samsung,45043.44,2,44142.57,5,220712.85,3.9,31432,Central,Kolkata,Amazon Pay,Cancelled,Express,Regular,Mobile Web,Desktop,New,Amazon,Returned,Excellent,Winter,Bank Offer,Non-Prime,Other,1
10043,Home & Kitchen,Puma,42343.75,29,30064.06,9,270576.54,4.6,40426,Central,Kolkata,Net Banking,Shipped,Same Day,Premium,Amazon App,Desktop,Renewed,Marketplace,Returned,Good,Winter,Bank Offer,Non-Prime,Other,8
10044,Toys,Philips,25404.59,31,17529.17,4,70116.68,3.1,49584,Central,Bengaluru,Net Banking,Cancelled,Prime,Regular,Amazon App,Desktop,New,Marketplace,Returned,Poor,Summer,Festival Sale,Non-Prime,Other,1
10045,Beauty,Puma,37352.51,22,29134.96,6,174809.76,4.5,22127,East,Warangal,Net Banking,Cancelled,Express,Regular,Mobile Web,Desktop,Renewed,Amazon,Returned,Average,Summer,Lightning Deal,Prime,Other,1
10046,Beauty,Puma,10992.45,1,10882.53,3,32647.59,2.9,38015,West,Pune,Amazon Pay,Delivered,Prime,VIP,Desktop Web,Desktop,New,Marketplace,Returned,Average,Summer,No Promotion,Prime,Other,7
10047,Toys,Puma,25308.58,6,23790.07,3,71370.21,4.5,7715,South,Hyderabad,UPI,Returned,Prime,VIP,Amazon App,Tablet,New,Amazon,Returned,Poor,Spring,Festival Sale,Prime,Other,1
10048,Grocery,Apple,27341.12,33,18318.55,5,91592.75,4.9,3817,South,Pune,Net Banking,Processing,Standard,Premium,Desktop Web,Tablet,Renewed,Marketplace,Not Returned,Poor,Winter,Bank Offer,Non-Prime,Female,9
10049,Sports,Apple,72121.65,31,49763.94,8,398111.52,3.3,29493,East,Delhi,Credit Card,Cancelled,Standard,VIP,Amazon App,Desktop,New,Amazon,Not Returned,Poor,Summer,Bank Offer,Prime,Female,8
10050,Sports,Samsung,5044.33,52,2421.28,8,19370.24,3.8,17454,Central,Delhi,Cash on Delivery,Returned,Express,Regular,Mobile Web,Desktop,New,Marketplace,Returned,Good,Summer,No Promotion,Non-Prime,Male,1
10051,Grocery,Amazon Basics,65187.99,38,40416.55,3,121249.65,4.1,4600,North,Chennai,Cash on Delivery,Processing,Prime,Regular,Mobile Web,Tablet,Renewed,Marketplace,Not Returned,Average,Summer,Bank Offer,Prime,Female,2
10052,Sports,Puma,22295.71,31,15384.04,8,123072.32,2.7,24690,East,Mumbai,Debit Card,Cancelled,Standard,VIP,Amazon.in,Tablet,New,Marketplace,Not Returned,Average,Spring,Bank Offer,Prime,Other,2
10053,Fashion,Lenovo,8368.78,42,4853.89,8,38831.12,3.7,42750,East,Kolkata,Debit Card,Processing,Standard,Regular,Mobile Web,Tablet,Renewed,Amazon,Not Returned,Excellent,Spring,Coupon,Prime,Female,2
10054,Beauty,Amazon Basics,30219.45,42,17527.28,3,52581.84,3.4,33762,West,Visakhapatnam,Amazon Pay,Returned,Prime,Regular,Amazon.in,Desktop,New,Marketplace,Not Returned,Excellent,Winter,Lightning Deal,Non-Prime,Male,6
10055,Grocery,Samsung,22601.39,13,19663.21,10,196632.1,4.7,37499,South,Pune,Amazon Pay,Shipped,Express,Premium,Amazon App,Mobile,Renewed,Amazon,Not Returned,Poor,Winter,Bank Offer,Prime,Other,4
10056,Beauty,Nike,55291.83,2,54185.99,10,541859.9,4.7,22452,East,Delhi,Cash on Delivery,Returned,Express,VIP,Desktop Web,Mobile,Renewed,Amazon,Returned,Excellent,Winter,Coupon,Non-Prime,Female,8
10057,Toys,Amazon Basics,35865.17,45,19725.84,2,39451.68,4.3,7670,East,Warangal,Credit Card,Delivered,Prime,Regular,Mobile Web,Mobile,Renewed,Amazon,Not Returned,Good,Summer,Festival Sale,Non-Prime,Female,1
10058,Electronics,Amazon Basics,96605.18,31,66657.57,10,666575.7,4.1,21151,Central,Bengaluru,UPI,Processing,Express,VIP,Mobile Web,Mobile,Renewed,Amazon,Returned,Average,Monsoon,Bank Offer,Non-Prime,Male,10
10059,Fashion,HP,96361.25,42,55889.53,2,111779.06,4.3,17341,Central,Hyderabad,UPI,Shipped,Standard,Premium,Mobile Web,Desktop,New,Marketplace,Returned,Average,Spring,Festival Sale,Prime,Other,4
10060,Books,boAt,44481.78,35,28913.16,9,260218.44,3.4,29604,North,Mumbai,Amazon Pay,Processing,Prime,VIP,Amazon App,Mobile,New,Marketplace,Returned,Excellent,Summer,Bank Offer,Prime,Male,10
10061,Fashion,HP,79548.73,16,66820.93,7,467746.51,3.5,8287,West,Warangal,Credit Card,Processing,Standard,Regular,Amazon.in,Tablet,Renewed,Marketplace,Not Returned,Poor,Summer,No Promotion,Non-Prime,Other,5
10062,Grocery,Philips,1523.2,47,807.3,6,4843.8,3.9,18538,North,Mumbai,Amazon Pay,Cancelled,Same Day,VIP,Amazon App,Tablet,New,Amazon,Returned,Excellent,Winter,Coupon,Non-Prime,Other,9
10063,Books,Apple,54870.6,2,53773.19,7,376412.33,4.8,17015,Central,Chennai,UPI,Delivered,Same Day,Regular,Desktop Web,Mobile,New,Marketplace,Returned,Poor,Winter,Coupon,Non-Prime,Female,5
10064,Electronics,Apple,74380.26,56,32727.31,8,261818.48,4.3,44644,South,Visakhapatnam,Amazon Pay,Processing,Express,Regular,Amazon App,Tablet,New,Amazon,Returned,Good,Summer,No Promotion,Non-Prime,Male,3
10065,Grocery,boAt,21849.93,9,19883.44,1,19883.44,3.9,49849,Central,Delhi,Net Banking,Returned,Same Day,Regular,Desktop Web,Desktop,Renewed,Amazon,Returned,Average,Spring,Lightning Deal,Non-Prime,Male,4
10066,Home & Kitchen,Sony,6303.94,52,3025.89,8,24207.12,4.4,49183,West,Bengaluru,Amazon Pay,Returned,Standard,Premium,Mobile Web,Mobile,New,Amazon,Not Returned,Good,Spring,Coupon,Prime,Male,10
10067,Beauty,Sony,15759.71,46,8510.24,3,25530.72,3.4,15852,Central,Warangal,Cash on Delivery,Cancelled,Same Day,VIP,Desktop Web,Mobile,New,Marketplace,Returned,Average,Summer,Festival Sale,Prime,Other,7
10068,Electronics,Samsung,44295.44,39,27020.22,3,81060.66,4.3,46258,West,Mumbai,Amazon Pay,Delivered,Standard,Premium,Desktop Web,Desktop,Renewed,Marketplace,Returned,Good,Monsoon,Coupon,Prime,Male,1
10069,Beauty,boAt,50734.87,17,42109.94,6,252659.64,3.5,21258,West,Kolkata,Cash on Delivery,Delivered,Express,VIP,Amazon.in,Tablet,New,Amazon,Returned,Excellent,Monsoon,Lightning Deal,Non-Prime,Other,6
10070,Sports,Amazon Basics,38211.34,2,37447.11,4,149788.44,3.2,38330,West,Chennai,Credit Card,Returned,Express,Premium,Desktop Web,Desktop,Renewed,Marketplace,Returned,Good,Spring,Festival Sale,Non-Prime,Male,8
10071,Home & Kitchen,Sony,44108.38,38,27347.2,4,109388.8,4.0,41508,West,Kolkata,UPI,Shipped,Standard,New,Desktop Web,Desktop,Renewed,Marketplace,Not Returned,Good,Winter,Festival Sale,Prime,Male,1
10072,Home & Kitchen,Puma,47128.45,9,42886.89,4,171547.56,4.2,2248,West,Bengaluru,Debit Card,Cancelled,Same Day,Regular,Amazon App,Tablet,Renewed,Amazon,Returned,Excellent,Monsoon,No Promotion,Prime,Female,8
10073,Electronics,Lenovo,76988.78,51,37724.5,10,377245.0,3.6,6192,South,Warangal,Debit Card,Cancelled,Express,Regular,Mobile Web,Desktop,New,Amazon,Returned,Average,Monsoon,Bank Offer,Non-Prime,Male,7
10074,Home & Kitchen,Amazon Basics,10702.14,8,9845.97,9,88613.73,3.9,27410,North,Chennai,UPI,Returned,Prime,Premium,Amazon App,Tablet,New,Marketplace,Returned,Average,Winter,No Promotion,Non-Prime,Female,1
10075,Books,Philips,76940.26,45,42317.14,8,338537.12,4.2,9895,East,Warangal,Debit Card,Returned,Express,New,Amazon App,Tablet,Renewed,Amazon,Returned,Excellent,Monsoon,Bank Offer,Non-Prime,Female,9
10076,Home & Kitchen,Puma,68924.0,54,31705.04,3,95115.12,4.4,6406,North,Delhi,Amazon Pay,Shipped,Same Day,Regular,Mobile Web,Desktop,Renewed,Amazon,Returned,Good,Summer,No Promotion,Prime,Other,3
10077,Beauty,Puma,74216.75,45,40819.21,1,40819.21,4.7,33924,West,Vijayawada,Credit Card,Shipped,Prime,VIP,Mobile Web,Tablet,Renewed,Marketplace,Returned,Good,Monsoon,Bank Offer,Non-Prime,Male,2
10078,Beauty,boAt,73498.94,10,66149.05,1,66149.05,3.4,47086,South,Chennai,Credit Card,Delivered,Same Day,Premium,Desktop Web,Desktop,Renewed,Marketplace,Not Returned,Good,Winter,Coupon,Non-Prime,Male,7
10079,Grocery,Samsung,47164.06,59,19337.26,1,19337.26,4.9,41303,Central,Kolkata,UPI,Cancelled,Standard,Regular,Desktop Web,Tablet,Renewed,Amazon,Returned,Poor,Summer,Festival Sale,Non-Prime,Male,3
10080,Beauty,Philips,21296.74,32,14481.78,4,57927.12,4.1,5295,South,Bengaluru,Debit Card,Cancelled,Prime,Regular,Amazon.in,Mobile,Renewed,Marketplace,Not Returned,Average,Monsoon,Bank Offer,Prime,Female,1
10081,Grocery,Sony,53754.56,35,34940.46,6,209642.76,4.5,12264,West,Visakhapatnam,Amazon Pay,Returned,Same Day,Premium,Amazon App,Tablet,New,Amazon,Not Returned,Good,Spring,Coupon,Non-Prime,Male,10
10082,Beauty,boAt,95805.61,25,71854.21,4,287416.84,4.2,28038,South,Delhi,Credit Card,Delivered,Prime,Premium,Mobile Web,Tablet,Renewed,Amazon,Returned,Average,Summer,Lightning Deal,Prime,Other,3
10083,Books,Sony,58933.86,26,43611.06,3,130833.18,3.0,38922,South,Vijayawada,Credit Card,Cancelled,Same Day,VIP,Desktop Web,Desktop,Renewed,Marketplace,Not Returned,Good,Summer,No Promotion,Non-Prime,Other,6
10084,Toys,boAt,1301.51,37,819.95,8,6559.6,2.7,9136,West,Visakhapatnam,Net Banking,Delivered,Prime,VIP,Mobile Web,Tablet,Renewed,Amazon,Returned,Excellent,Spring,Lightning Deal,Non-Prime,Male,3
10085,Grocery,boAt,6158.15,21,4864.94,8,38919.52,4.3,13213,South,Hyderabad,Net Banking,Delivered,Same Day,Regular,Desktop Web,Mobile,New,Amazon,Not Returned,Excellent,Spring,Coupon,Prime,Female,5
10086,Fashion,boAt,99286.77,25,74465.08,6,446790.48,3.8,12072,East,Delhi,Credit Card,Returned,Standard,Regular,Amazon.in,Mobile,New,Amazon,Returned,Average,Monsoon,Lightning Deal,Non-Prime,Other,9
10087,Sports,Samsung,7379.25,21,5829.61,9,52466.49,4.3,43010,East,Bengaluru,UPI,Delivered,Prime,Premium,Amazon.in,Tablet,New,Marketplace,Not Returned,Average,Monsoon,Lightning Deal,Prime,Other,7
10088,Electronics,boAt,4794.31,4,4602.54,10,46025.4,3.7,36053,South,Mumbai,Cash on Delivery,Shipped,Prime,Regular,Mobile Web,Tablet,New,Marketplace,Not Returned,Excellent,Winter,Coupon,Non-Prime,Female,2
10089,Beauty,Nike,35430.82,34,23384.34,1,23384.34,3.3,27431,Central,Chennai,Cash on Delivery,Shipped,Prime,Regular,Amazon.in,Mobile,Renewed,Marketplace,Returned,Poor,Winter,Festival Sale,Prime,Other,1
10090,Home & Kitchen,Lenovo,96936.86,1,95967.49,8,767739.92,3.2,42290,West,Warangal,Amazon Pay,Processing,Prime,Premium,Mobile Web,Desktop,New,Amazon,Not Returned,Excellent,Summer,Bank Offer,Non-Prime,Female,7
10091,Toys,Sony,32002.78,34,21121.83,6,126730.98,4.3,2003,East,Bengaluru,Credit Card,Returned,Standard,Regular,Desktop Web,Mobile,Renewed,Amazon,Not Returned,Good,Spring,No Promotion,Prime,Other,4
10092,Beauty,Amazon Basics,41105.44,8,37817.0,1,37817.0,3.2,19999,Central,Chennai,Credit Card,Processing,Prime,Regular,Amazon App,Mobile,Renewed,Marketplace,Not Returned,Poor,Spring,Bank Offer,Prime,Female,7
10093,Home & Kitchen,HP,63479.89,50,31739.94,4,126959.76,4.3,31279,South,Visakhapatnam,Credit Card,Shipped,Express,New,Amazon.in,Tablet,Renewed,Marketplace,Not Returned,Excellent,Winter,No Promotion,Non-Prime,Other,6
10094,Sports,Philips,2605.36,50,1302.68,5,6513.4,3.5,42747,Central,Warangal,UPI,Processing,Standard,VIP,Desktop Web,Tablet,Renewed,Marketplace,Not Returned,Poor,Summer,Bank Offer,Prime,Male,7
10095,Sports,Apple,89795.81,48,46693.82,7,326856.74,4.4,10438,North,Pune,Net Banking,Returned,Express,Premium,Amazon App,Mobile,Renewed,Amazon,Returned,Poor,Summer,Lightning Deal,Non-Prime,Other,4
10096,Sports,Samsung,52039.41,17,43192.71,8,345541.68,2.9,14227,East,Kolkata,Credit Card,Returned,Prime,New,Amazon App,Desktop,Renewed,Marketplace,Not Returned,Poor,Winter,Festival Sale,Prime,Other,3
10097,Home & Kitchen,Amazon Basics,46786.73,42,27136.3,9,244226.7,3.0,3672,South,Hyderabad,Credit Card,Delivered,Same Day,VIP,Amazon App,Mobile,New,Amazon,Not Returned,Average,Winter,Lightning Deal,Non-Prime,Male,5
10098,Beauty,Puma,86099.52,11,76628.57,6,459771.42,4.2,7458,West,Delhi,Debit Card,Cancelled,Express,VIP,Desktop Web,Mobile,New,Marketplace,Returned,Excellent,Winter,Festival Sale,Non-Prime,Male,3
10099,Sports,Nike,95316.04,2,93409.72,10,934097.2,3.9,18539,South,Bengaluru,UPI,Delivered,Prime,VIP,Desktop Web,Desktop,New,Amazon,Returned,Average,Monsoon,Coupon,Non-Prime,Male,3
10100,Books,Apple,42456.84,17,35239.18,9,317152.62,3.0,3479,West,Hyderabad,Amazon Pay,Returned,Express,New,Mobile Web,Mobile,New,Amazon,Returned,Average,Summer,No Promotion,Non-Prime,Male,4
10101,Grocery,HP,17408.62,55,7833.88,4,31335.52,4.8,14887,South,Mumbai,Credit Card,Shipped,Prime,New,Amazon App,Mobile,New,Marketplace,Not Returned,Good,Summer,No Promotion,Prime,Female,8
10102,Home & Kitchen,Amazon Basics,81606.79,37,51412.28,8,411298.24,3.2,51,Central,Chennai,Debit Card,Shipped,Prime,VIP,Amazon App,Tablet,Renewed,Amazon,Not Returned,Good,Summer,Coupon,Non-Prime,Female,2
10103,Home & Kitchen,Apple,40444.39,6,38017.73,3,114053.19,3.6,2159,Central,Chennai,Cash on Delivery,Delivered,Prime,Regular,Amazon App,Desktop,New,Marketplace,Not Returned,Poor,Winter,Bank Offer,Non-Prime,Other,4
10104,Beauty,Amazon Basics,93566.44,32,63625.18,4,254500.72,3.0,4390,Central,Bengaluru,Amazon Pay,Returned,Same Day,Regular,Mobile Web,Tablet,New,Amazon,Not Returned,Poor,Winter,Coupon,Non-Prime,Other,3
10105,Home & Kitchen,Nike,94998.92,5,90248.97,10,902489.7,3.5,20035,North,Vijayawada,Credit Card,Shipped,Express,New,Amazon App,Tablet,New,Amazon,Returned,Good,Winter,Coupon,Non-Prime,Other,7
10106,Home & Kitchen,HP,11658.94,17,9676.92,4,38707.68,3.7,28491,West,Vijayawada,Credit Card,Returned,Standard,New,Desktop Web,Desktop,Renewed,Marketplace,Returned,Good,Winter,Festival Sale,Non-Prime,Female,2
10107,Sports,Puma,95663.09,44,53571.33,6,321427.98,3.2,16080,Central,Pune,Debit Card,Shipped,Standard,New,Amazon App,Desktop,Renewed,Amazon,Not Returned,Excellent,Spring,Coupon,Prime,Other,1
10108,Beauty,boAt,36952.38,21,29192.38,9,262731.42,4.4,34880,North,Kolkata,UPI,Returned,Standard,VIP,Amazon.in,Mobile,Renewed,Marketplace,Not Returned,Poor,Winter,No Promotion,Non-Prime,Other,10
10109,Sports,Sony,64695.0,50,32347.5,6,194085.0,3.5,45520,West,Warangal,Credit Card,Processing,Standard,Regular,Desktop Web,Tablet,New,Marketplace,Not Returned,Poor,Monsoon,Lightning Deal,Prime,Female,1
10110,Grocery,Puma,3667.06,38,2273.58,1,2273.58,4.3,47361,South,Mumbai,Cash on Delivery,Returned,Prime,New,Mobile Web,Desktop,New,Marketplace,Not Returned,Good,Spring,Festival Sale,Prime,Other,6
10111,Toys,boAt,88909.65,50,44454.82,5,222274.1,3.0,22149,North,Hyderabad,Credit Card,Returned,Express,New,Amazon App,Tablet,New,Amazon,Returned,Excellent,Spring,Festival Sale,Non-Prime,Female,3
10112,Grocery,Samsung,64230.41,8,59091.98,9,531827.82,3.4,15339,East,Vijayawada,Cash on Delivery,Delivered,Express,Premium,Amazon.in,Tablet,New,Amazon,Returned,Good,Winter,Bank Offer,Non-Prime,Female,7
10113,Toys,Lenovo,64425.74,34,42520.99,5,212604.95,2.5,29305,North,Pune,Amazon Pay,Processing,Same Day,VIP,Mobile Web,Desktop,New,Amazon,Not Returned,Good,Summer,Lightning Deal,Prime,Male,8
10114,Sports,Philips,90236.18,22,70384.22,6,422305.32,4.4,1354,North,Pune,Amazon Pay,Cancelled,Express,Premium,Mobile Web,Mobile,Renewed,Marketplace,Returned,Average,Winter,Festival Sale,Prime,Male,5
10115,Grocery,Philips,50932.05,11,45329.52,3,135988.56,4.1,5620,West,Bengaluru,Net Banking,Delivered,Express,Regular,Desktop Web,Tablet,New,Marketplace,Not Returned,Poor,Summer,Coupon,Prime,Female,5
10116,Beauty,Sony,41168.56,51,20172.59,8,161380.72,4.5,3754,South,Mumbai,Net Banking,Cancelled,Express,Premium,Mobile Web,Desktop,Renewed,Amazon,Not Returned,Excellent,Winter,Festival Sale,Non-Prime,Female,2
10117,Electronics,HP,86638.65,23,66711.76,10,667117.6,3.6,16593,East,Visakhapatnam,Cash on Delivery,Shipped,Same Day,Premium,Mobile Web,Mobile,New,Amazon,Returned,Average,Winter,Festival Sale,Prime,Male,8
